Generalisation Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.9 | 82.89252185821533 seconds
Containment Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.5 | 82.22258639335632 seconds
Containment Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.7 | 82.00105500221252 seconds
Containment Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.9 | 81.91794347763062 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.5 | 5.677228927612305 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.7 | 5.489065170288086 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Persona pairs | Threshold 0.9 | 5.480115175247192 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Action pairs | Threshold 0.5 | 56.77700090408325 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Action pairs | Threshold 0.9 | 55.98907780647278 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.5 | 47.24338102340698 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.7 | 46.96427321434021 seconds
Semantical Equivalence Analyser Transformer | C:\Users\hofmann\Desktop\dependencyanalyseandsynergyofuserstories\Datasets\elaborated_ground_truth\datasets_elaborated\sim02.xlsx | Entity pairs | Threshold 0.9 | 46.92062592506409 seconds
